"Bid (identificativo) dello Spoglio (Alf-10)","Codice legame (Num-2)","Vid (identificativo) dell'autore (Alf-10)","Tipo autore (Alf-1)","Codice autore (Alf-1)","Intestazione autore (Alf-225)"
"LO11048352",1,"CFIV017621","C","A","Lunari, Luigi"
"LO11048354",1,"CFIV020806","C","A","Molinari, Cesare"
"LO11048355",1,"LO1V314089","C","A","Dyer, Charles"
"LO11048357",1,"CFIV027633","C","A","Serpieri, Alessandro <1935-    >"
"LO11048360",1,"LO1V149392","C","A","Sarti, Renato"
"LO11048361",1,"VEAV033141","C","A","Chiti, Ugo"
"LO11048365",1,"LO1V314196","C","A","Cossa, Roberto"
"LO11048368",1,"CFIV009778","C","A","Sanesi, Roberto"
"LO11048379",1,"TO0V164387","C","A","Santini, Giuseppe"
"LO11048382",1,"SBLV058929","C","A","Pezzati, Mauro"
"LO11048385",1,"UFIV015262","C","A","Petrusevskaja, Ljudmila Stefanovna"
"LO11048387",1,"RAVV002005","C","A","Rutelli, Romana"
"LO11048389",1,"CFIV032016","C","A","Lorandi, Marco"
"LO11048391",1,"CFIV027300","C","A","Boggio, Maricla"
"LO11048393",1,"RAVV014607","C","A","Montresor, Beni"
"LO11048396",1,"LO1V314199","C","A","Jeva, Andrea"
"LO11048397",1,"TO0V000685","C","A","Trieste, Leopoldo"
"LO11049083",1,"CFIV124475","C","A","Ragni, Sergio"
"LO11049087",1,"SBLV099669","C","A","Negri, Nilo"
"LO11049093",1,"LO1V314314","C","A","Giacobbe, Enzo"
"LO11049096",1,"CFIV001424","C","A","Del_Serra, Maura"
"LO11049097",1,"CFIV026283","C","A","De_Chiara, Ghigo"
"LO11049099",1,"CFIV012915","C","A","Ronfani, Ugo"
"LO11049104",1,"RAVV071316","C","A","Buffagni, Roberto"
"LO11049107",1,"CFIV071069","C","A","Moretti, Valeria"
"LO11049110",1,"CFIV060879","C","A","Wedekind, Frank"
"LO11049113",1,"SBLV161515","C","A","Binosi, Remo"
"LO11049116",1,"CFIV102725","C","A","Cantarutti, Ludovica"
"LO11049117",1,"RAVV328128","C","A","Sbragia, Mattia"
"LO11049118",1,"CFIV027300","C","A","Boggio, Maricla"
"LO11049122",1,"LO1V309368","C","A","Di_Salle, Glauco"
"LO11049411",1,"LO1V314314","C","A","Giacobbe, Enzo"
"LO11049413",1,"CFIV022805","C","A","Almansi, Guido"
"LO11049415",1,"CFIV004737","C","A","Ferrone, Siro"
"LO11049418",1,"CFIV006703","A","A","Euripides"
"LO11049419",1,"CFIV079256","C","A","Franchi, Eva"
"LO11049432",1,"RAVV014607","C","A","Montresor, Beni"
"LO11049442",1,"LO1V310932","C","A","Longhini, Bruno"
"LO11049445",1,"RAVV047330","C","A","Ottoni, Filippo"
"LO11049447",1,"CFIV001424","C","A","Del_Serra, Maura"
"LO11033491",1,"CFIV090104","C","A","Longoni, Angelo"
"LO11049450",1,"RMCV003703","C","A","Cavalli, Franco"
"LO11049452",1,"CFIV067195","C","A","Cavosi, Roberto"
"LO11049909",1,"RAVV031477","C","A","Archibugi, Luca"
"LO11049912",1,"CFIV059516","C","A","Bordon, Furio"
"LO11049917",1,"CFIV026283","C","A","De_Chiara, Ghigo"
"LO11049921",1,"CFIV033912","C","A","Giordano, Renato"
"LO11049923",1,"CFIV027300","C","A","Boggio, Maricla"
"LO11049934",1,"BVEV029872","C","A","Battaglini, Raffaella"
"LO11049941",1,"CUBV146708","C","A","Soddu, Ubaldo <1883-1949>"
"LO11049945",1,"LO1V314476","C","A","Tomati, Claudio"
"LO11049948",1,"LO1V314314","C","A","Giacobbe, Enzo"
"LO11049966",1,"LO1V314480","C","A","Palladino, Pierpaolo"
"LO11049968",1,"LO1V314481","C","A","Ciccone, Anne Riitta"
"LO11049969",1,"RAVV386655","C","A","Motolese, Matteo"
