"Bid (identificativo) del Periodico (Alf-10)","Codice legame (Num-2)","Bid (identificativo) dello spoglio (Alf-10)","Natura (Alf-1)","ISBD (Alf-1200)","Prima lingua (Alf-3)","Seconda lingua (Alf-3)","Terza lingua (Alf-3)","Paese (Alf-2)","Tipologia data (Alf-1)","Prima data (Num-4)","Seconda data (Num-4)","Primo genere (Alf-2)","Secondo genere (Alf-2)","Terzo genere (Alf-2)","Quarto genere (Alf-2)"
"CFI0156460",1,"LO11048352","N","La *bella e la bestia : commedia in due tempi / di Luigi Lunari","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048354","N","*Chi ha ucciso Lady Ofelia ? : dramma pseudoshakespeariano in due tempi / di Cesare Molinari. ((Opera finalista al Premio Riccione-Ater 1987.","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048355","N","*Mother Adam : commedia in due ati / di Charles Dyer","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048357","N","*Dracula : versione teatrale / Alessandro Serpieri ; dal romanzo di Bram Stoker","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048360","N","*Ravensbruck / Renato Sarti","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048361","N","*Nero cardinale / di Ugo Chiti","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048365","N","*Yepeto / di Roberto Cossa ; traduzione... di Nestor Garay","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048368","N","*Dialogo di Yuste : un atto / di Roberto Sanesi","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048379","N","*""In Christi nomine, Amen"" / di Giuseppe Santini","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048382","N","*Farsa d'identita : un atto / di Mauro Pezzati","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048385","N","L'*appartamento di Colombina : un atto / di Ljudmila Petrusevskaja ; traduzione di Claudia Sugliano","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048387","N","*Milledonna : quattro quadri / di Romana Rutelli","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048389","N","*Regina : un atto in due scene / di Marco Lorandi","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048391","N","*Maria dell'angelo / di Maricla Boggio","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048393","N","*Daybreak (Cerimonia d'amore) . una commedia / di Beni Montresor","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048396","N","*Cuccioli : commedia / di Andrea Jeva","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11048397","N","*Capriccio in la minore : commedia in due tempi con un prologo e un epilogo / di Leopoldo Trieste","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049083","N","*Processo a tartufo : inchiesta teatrale in due parti / di Sergio Ragni","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049087","N","Il *nostro viaggio : un atto / di Nilo Negri","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049093","N","L'*antica altalena del mare : commedia in due atti / di Enzo Giacobbe","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049096","N","La *fonte ardente : due atti per Simone Weil / di Maura del Serra","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049097","N","*Uomo in mare : commedia in due tempi / di Ghigo de Chiara","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049099","N","L'*automa di Salisburgo : concerto mozartiano per attrice e orchestra / diUgo Ronfani","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049104","N","*Viaggio in Italia : fantasia drammatica e musicale dalla vita e dalle opere di J. W. Goethe / di Roberto Buffagni. ((I testi del festiva delle VilleTuscolane.","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049107","N","Il *vizio del cielo / di Valeria Moretti. ((Sei testi di autori contemporanei del festival delle Ville Tuscolane.","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049110","N","*Mine-Haha ovvero Dell'educazione fisica delle fanciulle / adattamento di Daniela Morelli dell'opera di Wedekind","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049113","N","*Sognanti : un monologo / di Remo Binosi. ((Sei opere di autori contemporanei del festival delle Ville Tusculane","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049116","N","Un *poeta nel letto : cinque quadri per un giallo / di Ludovica Cantarutti","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049117","N","*...E i topi ballano / di Mattia Sbragia. ((Sei opere di autori contemporanei del festival delle Ville Tuscolane.","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049118","N","*Laica rappresentazione : dieci storie interrotte per coro e solisti / di Maricla Boggio","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049122","N","*Condor 222 A / di Glauco di Salle","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049411","N","*Morte di un re : dramma storico / di Enzo Giacobbe","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049413","N","*Mira : monologo / di Guido Almansi","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049415","N","Le *smanie per la rivoluzione : commedia in due atti / di Siro Ferrone","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049418","N","Le *baccanti / di Euripide ; nella traduzione di R. Randazzo con libera ricostruzione del perduto Lamento di Agave","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049419","N","Il *sogno nascosto / di Eva Franchi ; da un'idea di Nando Gazzolo","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049432","N","*Dissimulazioni amorose (sulla storia di August Strindberg e Siri Von Essen) / di Beni Montresor","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049442","N","*Oscar Galop / di Bruno Longhini","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049445","N","*Konnubio / di Filippo Ottoni","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049447","N","*Stanze : versi per un balletto / di Maura del Serra","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11033491","N","*Uomini senza donne / di Angelo Longoni. ((Premio Fondi-La Pastora 1988.","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049450","N","*Sotto l'erba dei campi da golf / di Franco Cavalli","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049452","N","*Rosanero / di Roberto Cavosi. ((Vincitrice del concorso Idi 1993.","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049909","N","La *notte della vigilia / di Luca Archibugi. ((Vincitrice del Concorso Idi1994.","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049912","N","*Caro Elvis, cara Janis / di Furio Bordon. ((Vincitrice al concorso Idi 1994.","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049917","N","Un *capriccio / di Ghigo de Chiara","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049921","N","*Labbra serrate / di Renato Giordano","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049923","N","Il *tempo di Agostino : un prologo e quindici scene / di Maricla Boggio","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049934","N","*Conversazione per passare la notte / di Raffaella Battaglini","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049941","N","*Isabella sulla luna / di Ubaldo Soddu","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049945","N","*Skin-assalto al Paradiso / di Claudio Tomati","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049948","N","*Regalo di compleanno / di Enzo Giacobbe","ITA",,,,,0,0,,,,
"CFI0156460",1,"LO11049966","N","*Tempo zero / di Pierpaolo Palladino. ((Testo vincitore della selezione Idi","ITA",,,,,0,0,,,,
